XMT-name	Database-name
Albite	PlHP_abh
Amphibole	Camp
Amphibole	CAMP_prgm
Amphibole	CAMP_tr
Amphibole	CAMP_glm
Andalusite	and
Anorthite	PlHP_an
Aragonite	arag
Biotite	BIO
Brucite	br
Calcite	cc
Chlorite	CHL
Chloritoid	CTD
Clinopyroxene	CPX_di
Clinopyroxene	CPX_jd
Coesite	coe
Cordierite	CRND
Dolomite	dol
Epidote	EPI_ep
Epidote	ep
Garnet	GRT
Garnet	Spss
Hematite	hem
Ilmenite	ilm
Kfeldspar	fspr
Kyanite	ky
Lawsonite	law
Magnesite	mag
Magnetite	mt
Muscovite	WM_mu
Olivine	OL_fo
Olivine	OL_fa
Omphacite	CPX_om
Orthopyroxene	OPX
Paragonite	WM_pa
Phengite	WM_cel
Quartz	q
Rutile	ru
Serpentine	atg
Sillimanite	sill
Spinel	SPIN_sp
Staurolite	ST14_fst
Staurolite	fst
Stilpnomelane	STlp
Talc	fta
Talc	ta
Talc	tap
Talc	tats
Tremolite	Camp_tr
Titanite	sph
Zircon	zrc
Zoisite	EPI_zo
Zoisite	zo
Zoisite	EPI_cz
